Total $\rho$,Scenario,Regret
0,Uniform Sample,27.68874816845062
0,Optimal Sample,63.588378636041405
0,Uniform Sample,67.15904470108015
0,Optimal Sample,104.65352918608367
0,Uniform Sample,563.031484221195
0,Optimal Sample,163.19447667905084
0,Uniform Sample,303.30909193513554
0,Optimal Sample,51.76568924652344
0,Uniform Sample,375.2061343894809
0,Optimal Sample,129.86928325789475
0,Uniform Sample,87.49650190940164
0,Optimal Sample,44.473758199858196
0,Uniform Sample,181.00469299998497
0,Optimal Sample,145.74739844779157
0,Uniform Sample,247.87926933914486
0,Optimal Sample,143.1998865822868
0,Uniform Sample,104.72537172283405
0,Optimal Sample,39.66392082211401
0,Uniform Sample,420.18861814366016
0,Optimal Sample,64.03722778704194
0,Uniform Sample,208.68042468399003
0,Optimal Sample,76.6844521526897
0,Uniform Sample,76.9705772602414
0,Optimal Sample,23.242943803799665
0,Uniform Sample,194.5173138656129
0,Optimal Sample,37.824994229457
0,Uniform Sample,55.70167709746617
0,Optimal Sample,172.24072406540245
0,Uniform Sample,324.55113115427963
0,Optimal Sample,156.99542959163486
0,Uniform Sample,77.73761392760603
0,Optimal Sample,105.4056507480407
0,Uniform Sample,95.79575874644824
0,Optimal Sample,66.64478227028947
0,Uniform Sample,99.20845146897219
0,Optimal Sample,67.84145392690252
0,Uniform Sample,179.09100091702211
0,Optimal Sample,22.989556972288
0,Uniform Sample,82.17007946443029
0,Optimal Sample,71.71609826322273
0,Uniform Sample,317.06810182261006
0,Optimal Sample,67.55819270037702
0,Uniform Sample,53.76316926872932
0,Optimal Sample,56.26242519736249
0,Uniform Sample,278.5625992641152
0,Optimal Sample,34.76854397086897
0,Uniform Sample,68.87021546448962
0,Optimal Sample,176.27258852212492
0,Uniform Sample,210.426240198447
0,Optimal Sample,235.97621318845495
0,Uniform Sample,79.4682279980913
0,Optimal Sample,71.66888091217899
0,Uniform Sample,445.3403221113093
0,Optimal Sample,43.56343574012425
0,Uniform Sample,165.9069603076994
0,Optimal Sample,122.51520981553122
0,Uniform Sample,88.80883175816372
0,Optimal Sample,73.6085941180155
0,Uniform Sample,53.1152876128056
0,Optimal Sample,39.5467716718574
0,Uniform Sample,204.3928146326519
