Total $\rho$,Scenario,Forecast error
0,Uniform Sample,9.736248958668709
0,Optimal Sample,4.7608620446417875
0,Uniform Sample,8.108265501297794
0,Optimal Sample,4.8632368008145
0,Uniform Sample,8.68287904329579
0,Optimal Sample,3.978126838441113
0,Uniform Sample,6.658061059362853
0,Optimal Sample,4.438698909155871
0,Uniform Sample,7.747631554225844
0,Optimal Sample,7.583206759222625
0,Uniform Sample,8.570161968023866
0,Optimal Sample,7.202703630309879
0,Uniform Sample,6.401084108113126
0,Optimal Sample,5.851531884818504
0,Uniform Sample,9.441406460125773
0,Optimal Sample,6.99114907697646
0,Uniform Sample,7.238026117961878
0,Optimal Sample,5.728554705706195
0,Uniform Sample,8.447371285337924
0,Optimal Sample,6.373126520467711
0,Uniform Sample,6.169516584579608
0,Optimal Sample,5.858771697020708
0,Uniform Sample,10.509033931765083
0,Optimal Sample,5.781408970366311
0,Uniform Sample,11.077862176880004
0,Optimal Sample,5.17447247782565
0,Uniform Sample,13.48275122989797
0,Optimal Sample,7.22824881991738
0,Uniform Sample,8.065222104501142
0,Optimal Sample,5.068148184066076
0,Uniform Sample,7.444094238587608
0,Optimal Sample,8.293707017762475
0,Uniform Sample,8.033730065309413
0,Optimal Sample,6.145720831449775
0,Uniform Sample,9.614920219236831
0,Optimal Sample,5.862566688118449
0,Uniform Sample,7.3579107774840775
0,Optimal Sample,6.333826005065232
0,Uniform Sample,8.418456789206001
0,Optimal Sample,5.725570228941119
0,Uniform Sample,11.546522117002935
0,Optimal Sample,4.406238354278917
0,Uniform Sample,10.70374626135165
0,Optimal Sample,5.518144656249064
0,Uniform Sample,6.413326132103474
0,Optimal Sample,5.13724360091593
0,Uniform Sample,7.2647671227743515
0,Optimal Sample,6.52646803992267
0,Uniform Sample,10.417747218666168
0,Optimal Sample,4.810471334487395
0,Uniform Sample,9.603657491404599
0,Optimal Sample,6.448953510897117
0,Uniform Sample,9.020797819860263
0,Optimal Sample,6.716494067743182
0,Uniform Sample,8.679856764728985
0,Optimal Sample,4.509534581723383
0,Uniform Sample,9.098884612218411
0,Optimal Sample,6.028528590123197
0,Uniform Sample,8.691097436576774
0,Optimal Sample,4.915637039211792
0,Uniform Sample,4.831087263545638
0,Optimal Sample,4.144623228731925
0,Uniform Sample,7.393043574891083
0,Optimal Sample,5.951470350013279
0,Uniform Sample,7.604154329490704
0,Optimal Sample,8.189262230945278
0,Uniform Sample,7.945206466419794
0,Optimal Sample,3.809588512637598
0,Uniform Sample,8.358878363362374
0,Optimal Sample,5.492983801134682
0,Uniform Sample,11.11334462459933
0,Optimal Sample,6.999614833629201
0,Uniform Sample,8.340062468667789
0,Optimal Sample,4.734877115003105
0,Uniform Sample,4.54038427683076
0,Optimal Sample,7.316164572386758
0,Uniform Sample,10.98291621768029
0,Optimal Sample,5.9949519896086905
0,Uniform Sample,6.893599372966412
0,Optimal Sample,5.096041018966491
0,Uniform Sample,10.344217905071872
0,Optimal Sample,4.646223708378735
0,Uniform Sample,7.774712089786786
0,Optimal Sample,6.667439081397187
0,Uniform Sample,11.651492065320525
0,Optimal Sample,5.385413624484705
0,Uniform Sample,9.812410241066148
0,Optimal Sample,4.320112867252969
0,Uniform Sample,9.288310781111102
0,Optimal Sample,3.575051941062146
0,Uniform Sample,9.748009181050959
0,Optimal Sample,5.86414580307096
0,Uniform Sample,8.9525451153418
0,Optimal Sample,5.7221740666751915
0,Uniform Sample,10.98932021653679
0,Optimal Sample,5.3810401515670145
0,Uniform Sample,6.885851394416304
0,Optimal Sample,6.319870569097203
0,Uniform Sample,10.309418399239622
0,Optimal Sample,6.066369260401952
0,Uniform Sample,10.468711742866036
0,Optimal Sample,4.710223219187822
0,Uniform Sample,7.146887211156391
0,Optimal Sample,5.985886724040974
0,Uniform Sample,5.324761687702173
0,Optimal Sample,7.146607370710481
0,Uniform Sample,6.208329258875994
0,Optimal Sample,4.232719656381986
0,Uniform Sample,14.033255230004661
0,Optimal Sample,5.302541622454068
0,Uniform Sample,9.688702113761902
0,Optimal Sample,5.191965724581304
0,Uniform Sample,11.733325492714453
0,Optimal Sample,4.227518584963807
0,Uniform Sample,9.008449497355247
0,Optimal Sample,4.463479541825949
0,Uniform Sample,9.457172233989759
0,Optimal Sample,3.387982655078673
0,Uniform Sample,10.242368557910984
0,Optimal Sample,5.897527344115754
0,Uniform Sample,9.66056969237499
0,Optimal Sample,4.019791831847325
0,Uniform Sample,7.585269931216383
0,Optimal Sample,5.372160937288792
0,Uniform Sample,8.212532519313042
0,Optimal Sample,6.547604613004125
0,Uniform Sample,9.655414204321044
0,Optimal Sample,7.563412158652948
0,Uniform Sample,7.348005172993026
0,Optimal Sample,4.707069069953592
0,Uniform Sample,7.845098143265178
0,Optimal Sample,3.8835026922496496
0,Uniform Sample,9.617569556385655
0,Optimal Sample,5.373911128467636
0,Uniform Sample,8.756388798379039
0,Optimal Sample,6.622668173120351
0,Uniform Sample,9.61161518755107
0,Optimal Sample,5.76089339654142
0,Uniform Sample,8.412451415441156
0,Optimal Sample,4.91170405574248
0,Uniform Sample,8.266402174063549
0,Optimal Sample,6.4358612044071375
0,Uniform Sample,8.705540341626973
0,Optimal Sample,5.656926728486496
0,Uniform Sample,9.094447859202237
0,Optimal Sample,4.027109773392188
0,Uniform Sample,9.937005054779739
0,Optimal Sample,6.702928123402798
0,Uniform Sample,11.99465900701464
0,Optimal Sample,5.140732477647257
0,Uniform Sample,7.5324172129922955
0,Optimal Sample,4.656884202762599
0,Uniform Sample,5.287178589086703
0,Optimal Sample,7.811057462622799
0,Uniform Sample,8.542919675508292
0,Optimal Sample,4.37135301299938
0,Uniform Sample,5.665092829612019
0,Optimal Sample,5.758743880046319
0,Uniform Sample,9.008837853362667
0,Optimal Sample,5.648846557587711
0,Uniform Sample,8.719004377603998
0,Optimal Sample,5.37859152213777
0,Uniform Sample,12.499646995130442
0,Optimal Sample,4.811832271318482
0,Uniform Sample,10.467530750207834
0,Optimal Sample,4.754681012094077
0,Uniform Sample,10.70943495543303
0,Optimal Sample,6.591728793912363
0,Uniform Sample,10.471733632535072
0,Optimal Sample,4.674530780700472
0,Uniform Sample,10.950630450210808
0,Optimal Sample,4.141505286519916
0,Uniform Sample,11.020119360311902
0,Optimal Sample,5.478448654258548
0,Uniform Sample,12.892550795358583
0,Optimal Sample,6.343209595454679
0,Uniform Sample,10.894908819659275
0,Optimal Sample,5.395886733579108
0,Uniform Sample,10.710122250200898
0,Optimal Sample,6.172391442187077
0,Uniform Sample,8.159728113586931
0,Optimal Sample,5.565018615970143
0,Uniform Sample,9.134383833326506
0,Optimal Sample,6.7522884298993855
0,Uniform Sample,8.131740966505284
0,Optimal Sample,4.213344397329948
0,Uniform Sample,9.880486492106847
0,Optimal Sample,5.940970982688941
0,Uniform Sample,8.965206456879967
0,Optimal Sample,4.955973613633945
0,Uniform Sample,9.784173813660688
0,Optimal Sample,4.3139485060077245
0,Uniform Sample,10.006215630370408
0,Optimal Sample,4.2173514552643665
0,Uniform Sample,9.25580009905858
0,Optimal Sample,5.299620795020276
0,Uniform Sample,7.977858679573805
0,Optimal Sample,5.995229385710417
0,Uniform Sample,12.059221193338983
0,Optimal Sample,5.339246907271501
0,Uniform Sample,8.33403472370389
0,Optimal Sample,4.810173323073675
0,Uniform Sample,10.917862391777755
0,Optimal Sample,5.864794663637745
0,Uniform Sample,6.319653139539203
0,Optimal Sample,4.315260009874683
0,Uniform Sample,9.660372460926565
0,Optimal Sample,5.304821240232188
0,Uniform Sample,13.829853349852433
0,Optimal Sample,5.035476617480706
0,Uniform Sample,9.275639921519657
0,Optimal Sample,8.037841420959015
0,Uniform Sample,11.212021182335958
0,Optimal Sample,3.2510019855126098
0,Uniform Sample,6.892124003250163
0,Optimal Sample,6.431128610166221
0,Uniform Sample,9.93396021771928
0,Optimal Sample,4.51063015933004
0,Uniform Sample,7.755220934697522
0,Optimal Sample,5.288159383474185
0,Uniform Sample,6.837637908896864
0,Optimal Sample,5.921856477991501
0,Uniform Sample,14.088315112415534
